keyID,debugInfos,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,its_in_echantiallants,its_pour_affiche_au_presenter,parentProduit_Classement,processPositioningInFactory,aAffiche,nomImageFichieSansEtansion,telephone_Prise_depuit,count_Don_Depot,a_cammende_depuit_grossist,nomCouleurStrSiSonImageDispo,parentBProduitInfosKeyID,parentBProduitOldID,parentId1ProduitInfosDebugName,indexCouleurDansAncienProto,extensionDisponible,dernier_achant_timeTamp
-OWDMGTvixN2zFMz448F,,1753661379842,1753661379863,false,false,,CreeAuGeneralHandler,Image,45_1,,0,0,🍫 chocolat 🍫,-OV3rmYIGTAIwrJIfRnk,45,Pino Enrobe®,0,webp,0
-OWDMGUTAWTFa7LLvWLG,,1753661379877,1775324306161,false,false,,CreeAuGeneralHandler,Image,53_1,,0,0,?? Multi Couleur 🎨,-OV3rmY_5nCCJKSbiHop,53,Frienda®,0,webp,0
-OWDMGV3H2hLLGZAj0gc,,1753661379915,1778673510439,false,true,52,CreeAuGeneralHandler,Image,54_0,,2,13,🍫 chocolat 🍫,-OV3rmYbW2TP8cpus4TH,54,Tonner®,0,webp,0
-OWDMGVF0p8CQSkl8fn-,,1753661379927,1753661379942,false,false,52,CreeAuGeneralHandler,Image,54_2,,0,0,,-OV3rmYbW2TP8cpus4TH,54,Tonner®,1,webp,0
-OWDMGVkIUob7FCNtuPQ,,1753661379959,1778673509972,false,false,,CreeAuGeneralHandler,Image,55_1,,1,0,🎁 standard 🎁,-OV3rmYbW2TP8cpus4TL,55,Trio Gum®,0,webp,0
-OWDMGWJE1IlVe7YkCgU,,1753661379995,1774892959776,false,false,,CreeAuGeneralHandler,Image,58_1,,0,0,🍙 Reglize 🍙,-OV3rmYff1hZ74Nk_sjc,58,Reglize حلقومة®,0,webp,0
-OWDMGWvkh2S1W6Hzf0K,,1753661380034,1753661380054,false,false,,CreeAuGeneralHandler,Image,61_1,,0,0,🎇 nougat 🎇,-OV3rmYm1xPYP7lA4INc,61,Afrah®,0,webp,0
-OWDMGXQojQ1mNCpEcsm,,1753661380066,1779185369219,false,false,,CreeAuGeneralHandler,Image,64_1,,1,0,?? fruité 🍡,-OV3rmYodo1064IS2G1U,64,Soray®,0,webp,0
-OWDMGXx1O0OALznG2g0,,1753661380100,1778673509983,false,false,,CreeAuGeneralHandler,Image,65_1,,1,0,🍓 Fraise 🍓,-OV3rmYodo1064IS2G1Y,65,Silca®,0,webp,0
-OWDMGY3ESo5QCu5ScH7,,1753661380107,1778053899392,false,false,,CreeAuGeneralHandler,Image,65_1,,0,0,🥤 Coca 🥤,-OV3rmYodo1064IS2G1Y,65,Silca®,1,webp,0
-OWDMGYAU8orEn8_9ZQh,,1753661380114,1763505868289,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍏 تفاح 🍏,-OV3rmYodo1064IS2G1Y,65,Silca®,2,webp,0
-OWDMGYHrqY8PnPaglWN,,1753661380121,1762808889167,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍋 Citron 🍋,-OV3rmYodo1064IS2G1Y,65,Silca®,3,webp,0
-OWDMGYZchezl4zmn4x_,,1753661380139,1753661380169,false,false,,CreeAuGeneralHandler,Image,66_1,,0,0,🥥 noîx de coco 🥥,-OV3rmYpMtPTAdmCNYQn,66,Aldo®,0,webp,0
-OWDMGYgHACNZkbBeWO4,,1753661380147,1753661380170,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍫 chocolat 🍫,-OV3rmYpMtPTAdmCNYQn,66,Aldo®,1,webp,0
