keyID,id,creationTimestamps,dernierTimeTampsSynchronisationAvecFireBase,defaultNonSaved_Entre,its_From_CalculeParNewBenifice,laisse_Au_Gerant,typeChoisi,prixCurrency,profitMargin,suggestedUpgrade,parent_M14VentPeriod_KeyId,parent_M14VentPeriod_DebugInfos,parent_M1Produit_KeyId,parent_M1Produit_DebugInfos,parent_M8BonVent_KeyId,parent_M8BonVent_DebugInfos,parent_M2Client_KeyId,parent_M2Client_DebugInfos
-OctZas99WdxkdXgMb3z,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,420.0,0.0,,,,-OctZ_Xgre7iYtaENmhI,Shweps Stick,null,null,null,null
-OctZvK5rcOhekgs2itB,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,630.0,0.0,,,,-OctZuSXOJKBcZ0y9S8w,Sebta Promo,null,null,null,null
-Octic0BnUbg8IeKs1r_,0,1761905115136,1761905131632,true,true,false,Tariff_ItsWorkInGrossist_Achat,715.0,0.0,,-OcqX9vahiEJw215qBfh,,-OctG9kxJrt-H6BYfuxh,Movi,null,null,null,null
-OctikyQfakcJPIVj21D,0,1761905151768,1778832642665,true,true,false,Tariff_ItsWorkInGrossist_Achat,375.0,0.0,Historique,-OcqX9vahiEJw215qBfh,,-OaKD14XYiiIg89d4ib3,wassim,null,null,null,null
-OctinOSH16ysR2cpTmA,0,1761905161690,1761905167541,true,true,false,Tariff_ItsWorkInGrossist_Achat,595.0,0.0,,-OcqX9vahiEJw215qBfh,,-Ob9ff0u9jgaqA1cAIop,Bida Surprise,null,null,null,null
-OctirQhreuYPPeIHCnR,0,1761905178218,1761905181022,true,true,false,Tariff_ItsWorkInGrossist_Achat,415.0,0.0,,-OcqX9vahiEJw215qBfh,,-OctZ_Xgre7iYtaENmhI,Shweps Stick,null,null,null,null
-OctiwUnQ0ueULS8Fw5Z,0,1761905198960,1762330713482,true,true,false,Tariff_ItsWorkInGrossist_Achat,625.0,0.0,,-OcqX9vahiEJw215qBfh,,-OctZuSXOJKBcZ0y9S8w,Sebta Promo,null,null,null,null
-Octj1inkqKkHP-q38gO,0,1769687102862,1777628456067,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,1100.0,0.0,Historique,,,-Octj10PnYG-B_bz9Ikp,Bimo Roche,null,null,null,null
-Octj25LksI6xaqfzxr4,0,1761905226003,1777628456065,true,true,false,Tariff_ItsWorkInGrossist_Achat,1095.0,0.0,Historique,-OcqX9vahiEJw215qBfh,,-Octj10PnYG-B_bz9Ikp,Bimo Roche,null,null,null,null
-OcvmN6D0SXsbh1A0PwP,0,1761940365731,1761940368350,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,480.0,0.0,,,,-OV3rmXlp5g9lDDZQS84,Turta®,null,null,null,null
-OcvnHA93LAzjF-Uxoed,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,520.0,0.0,,,,-OcvnE0b-KH_Xybz_-hx,Signale,null,null,null,null
-OcvnZIeoPspSnqiZisQ,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,185.0,0.0,,,,-OcvnWCsjtir4bDrbgED,Izem Trix,null,null,null,null
-Ocvnpbw_i59rb7nmBk7,0,1761940043192,1761940043194,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,720.0,0.0,,,,-OV3rmYA785Roq7AQ3cB,Movi®,null,null,null,null
-Ocvnqc84bvQVTG0U_pW,0,1761940040118,1761940043192,true,true,false,Tariff_ItsWorkInGrossist_Achat,715.0,0.0,,-OcqX9vahiEJw215qBfh,,-OV3rmYA785Roq7AQ3cB,Movi®,null,null,null,null
-OcvoKoM8L-JFMxO3fAh,0,1769687102862,1769687102862,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,400.0,0.0,,,,-OcvoGQvIkuCQAKh71Ku,Kappi Chabih Megalina,null,null,null,null
-Ocvp4kPDKx2YzTpknvb,0,1761940364290,1761940368342,true,true,false,Tariff_ItsWorkInGrossist_Achat,475.0,0.0,,-OcqX9vahiEJw215qBfh,,-OV3rmXlp5g9lDDZQS84,Turta®,null,null,null,null
