id,keyID,creationTimestamp,bsonObjectId,dernierTimeTampsSynchronisationAvecFireBase,dernierFireBaseUpdateTimestamps,count_Don_Depot,processPositioningInFactory,idParentCategorie,positionDonSonCesFrereCategorieProduits,nom,nomMutable,nomArab,autreNomDarticle,etateActuelleOnFusionAvecBaseDonne,tag_prioriter_str,nombreUniteInt,nombreProduitDonSonCarton,its_Carton,cartonState,heldPrioriteDemandAuGrossist,position_store_3jamale,dernier_timeTamps_position_store_3jamale,prixDefiniParGerant,prixVent,cachePrixVent,pourcentage_Prix_Progressive,prixAchat,prixAchatDernierTimeTempUpdate,clientPrixVentUnite,afficheUniteAuPrint,actualiseSonImage,actualiseSonImageTest2,afficheCesDetailPourComptBsonId,disponibilityEtates,disponibilityEtates_Pour_presentaion_par_Camion,keyFireBase,couleur1,couleur2,couleur3,couleur4,couleur5,couleur6,couleur7,couleur8,couleur9,idcolor1,idcolor2,idcolor3,idcolor4,idcolor5,idcolor6,idcolor7,idcolor8,idcolor9,nomCategorie2,affichageUniteState,commmentSeVent,afficheBoitSiUniter,minQuan,monBenfice,neaon2,funChangeImagsDimention,nomCategorie,neaon1,lastUpdateState,dateCreationCategorie,prixDeVentTotaleChezClient,benficeTotaleEntreMoiEtClien,benificeTotaleEn2,monPrixAchatUniter,monPrixVentUniter,articleHaveUniteImages,itsNewArrivale,imageDimention,idForSearchArticles,prioriter,quantite_Boit_Par_Carton,setIN_Vent_Its_Quantity_Represent
4225,-Od7WQnbYYTZHZ1_aBZ4,1774956684505,-Od7WQnbYYTZHZ1_aBZ6,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Lahbibe,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,185.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od7WQnbYYTZHZ1_aBZ4,-Od7WQnbYYTZHZ1_aBZ3,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4226,-Od7gWqM8AifVRfspLAg,1774956684506,-Od7gWqM8AifVRfspLAi,1779312307983,1778659867484,5,CreeAuGeneralHandler,98,0,Chips Sachet,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",100,1,false,,false,0,0,0.0,0.0,false,60,345.0,0,5.0,false,3,3,,DISPO,NON_DISPO,-Od7gWqM8AifVRfspLAg,-Od7gWqM8AifVRfspLAf,-OsVNvrVW4CBvccQ9flm,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4227,-Od7mJ9QJ1oUDEMxOqwI,1774956684507,-Od7mJ9QJ1oUDEMxOqwK,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Vigos,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,895.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od7mJ9QJ1oUDEMxOqwI,-Od7mJ9QJ1oUDEMxOqwH,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,6,quantity_Par_Boit
4228,-Od80HChAkNA53v_ikRY,1774956684507,-Od80HChAkNA53v_ikR_,1777629905988,0,0,CreeAuGeneralHandler,1755942577975,0,s,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",50,1,false,,false,0,0,0.0,0.0,false,60,1115.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od80HChAkNA53v_ikRY,-Od80HChAkNA53v_ikRX,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4229,-Od80xHiyZFWYjA3MRDe,1774956684508,-Od80xHiyZFWYjA3MRDg,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Bilux Pm,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,735.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od80xHiyZFWYjA3MRDe,-Od80xHiyZFWYjA3MRDd,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4230,-Od83BTD8lHkhfFubNgB,1774956684509,-Od83BTD8lHkhfFubNgD,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Chips 10da,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,445.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od83BTD8lHkhfFubNgB,-Od83BTD8lHkhfFubNgA,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4231,-Od89HNf51uBYBZ_jBIa,1774956684510,-Od89HNf51uBYBZ_jBIc,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Magma Bar,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",24,1,false,,false,0,0,0.0,0.0,false,60,995.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od89HNf51uBYBZ_jBIa,-Od89HNf51uBYBZ_jBI_,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4232,-Od8Hdsqt5FzZkWD3Fdd,1774956684510,-Od8Hdsqt5FzZkWD3Fdf,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Master 48p,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,715.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od8Hdsqt5FzZkWD3Fdd,-Od8Hdsp1oaUOXfkuTli,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4233,-Od8Hhm6UAWsSYJg7tc1,1774956684511,-Od8Hhm6UAWsSYJg7tc3,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Master blanche 40p,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,955.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od8Hhm6UAWsSYJg7tc1,-Od8Hhm557bTJqj9xndt,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4234,-Od8HmyUP8GUKdzPG0p3,1774956684512,-Od8HmyUP8GUKdzPG0p5,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Vag D Or 40p Couleur,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",40,1,false,,false,0,0,0.0,0.0,false,60,895.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-Od8HmyUP8GUKdzPG0p3,-Od8HmyUP8GUKdzPG0p2,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
